trial,fold,run_name,map50,map50_95,precision,recall,fitness
0,0,train_folds_0_1_valid_folds_2,0.6877172831399341,0.38471366448355826,0.7019065688136871,0.6199304750869061,0.38471366448355826
0,1,train_folds_0_2_valid_folds_1,0.6061922460747565,0.34951045021915234,0.6978462248338511,0.5403248732954935,0.34951045021915234
0,2,train_folds_1_2_valid_folds_0,0.6665276062780938,0.3871962120695114,0.7540181268967693,0.571584699453552,0.3871962120695114
1,0,train_folds_0_1_valid_folds_2,0.6475873832423888,0.35579171925147507,0.7270967365758294,0.5587936885735263,0.35579171925147507
1,1,train_folds_0_2_valid_folds_1,0.5863748168784402,0.31246361317225435,0.6528916636879379,0.5198697064855933,0.31246361317225435
1,2,train_folds_1_2_valid_folds_0,0.6211354666297508,0.3524636634280566,0.6476190914068822,0.5683060109289617,0.3524636634280566
2,0,train_folds_0_1_valid_folds_2,0.6358049388965435,0.3593859898811374,0.6039032419733134,0.6176129779837776,0.3593859898811374
2,1,train_folds_0_2_valid_folds_1,0.5916180924912223,0.3242604952929402,0.6154121164117069,0.5125136017410229,0.3242604952929402
2,2,train_folds_1_2_valid_folds_0,0.6288375794574435,0.3595657703226305,0.7063041174565898,0.5335425042528867,0.3595657703226305
3,0,train_folds_0_1_valid_folds_2,0.7014682526823032,0.38914815970261124,0.7683890486121324,0.6187717265353418,0.38914815970261124
3,1,train_folds_0_2_valid_folds_1,0.6229603836475606,0.3493242069403337,0.7172340062639393,0.5630521707779597,0.3493242069403337
3,2,train_folds_1_2_valid_folds_0,0.6514619089644346,0.3935010525580749,0.728448576315516,0.5628415300546448,0.3935010525580749
4,0,train_folds_0_1_valid_folds_2,0.6528401730453296,0.33930857176035073,0.703849162066738,0.5689455388180765,0.33930857176035073
4,1,train_folds_0_2_valid_folds_1,0.6004774837286518,0.3164661064415052,0.6542318674784138,0.5223068552774756,0.3164661064415052
4,2,train_folds_1_2_valid_folds_0,0.6191140036007156,0.33265200602803763,0.659688174409486,0.5453551912568306,0.33265200602803763
5,0,train_folds_0_1_valid_folds_2,0.6283533995950347,0.3514130771620146,0.7061118181220009,0.5289742497158487,0.3514130771620146
5,1,train_folds_0_2_valid_folds_1,0.589155270398928,0.3239808286093244,0.6705938384717454,0.5027203482045702,0.3239808286093244
5,2,train_folds_1_2_valid_folds_0,0.6009127349712677,0.3448207675534134,0.6637239758291855,0.49836065573770494,0.3448207675534134
6,0,train_folds_0_1_valid_folds_2,0.6403849901208747,0.3604949615972547,0.6734716851890267,0.5616371489295399,0.3604949615972547
6,1,train_folds_0_2_valid_folds_1,0.6063063030050393,0.3316582935374332,0.6729279718776614,0.5244831338411317,0.3316582935374332
6,2,train_folds_1_2_valid_folds_0,0.6348606968322664,0.3518482602922346,0.7605597920681606,0.5060109289617486,0.3518482602922346
7,0,train_folds_0_1_valid_folds_2,0.6343997285647408,0.33986423560854867,0.6518046596070003,0.5813246618576862,0.33986423560854867
7,1,train_folds_0_2_valid_folds_1,0.5694048975039019,0.3190586081542708,0.6210095512612676,0.5135078495252597,0.3190586081542708
7,2,train_folds_1_2_valid_folds_0,0.5980606769938357,0.3206540562475883,0.6668504340176011,0.5398907103825137,0.3206540562475883
8,0,train_folds_0_1_valid_folds_2,0.6792929538858739,0.3759228167203238,0.7060888839111612,0.626882966396292,0.3759228167203238
8,1,train_folds_0_2_valid_folds_1,0.5913981587124761,0.33105603971158537,0.6236791002097591,0.5114254624591947,0.33105603971158537
8,2,train_folds_1_2_valid_folds_0,0.6170901991991398,0.3369057903844037,0.6697598314871459,0.5319607403396109,0.3369057903844037
9,0,train_folds_0_1_valid_folds_2,0.7027379444050699,0.38473762818134194,0.7132860631185434,0.6428492996666036,0.38473762818134194
9,1,train_folds_0_2_valid_folds_1,0.6259469077191687,0.35877589217398637,0.6936031311526358,0.5345288705462807,0.35877589217398637
9,2,train_folds_1_2_valid_folds_0,0.6672742549726383,0.37330801177990236,0.7509581920938357,0.5767142766430008,0.37330801177990236
10,0,train_folds_0_1_valid_folds_2,0.32904549271450556,0.16996627673787118,0.46127318835870446,0.3325608342989571,0.16996627673787118
10,1,train_folds_0_2_valid_folds_1,0.33012919711039557,0.15593323054094332,0.45594681798446335,0.3340587595212187,0.15593323054094332
10,2,train_folds_1_2_valid_folds_0,0.3456075898384464,0.1942360210881003,0.5442901302319785,0.30601092896174864,0.1942360210881003
11,0,train_folds_0_1_valid_folds_2,0.6889655272741104,0.3940938750370088,0.7533735738374899,0.6164542294322132,0.3940938750370088
11,1,train_folds_0_2_valid_folds_1,0.6219216547502993,0.36329513821152787,0.6937300129989429,0.5560391730141458,0.36329513821152787
11,2,train_folds_1_2_valid_folds_0,0.6550499383447017,0.3783970473491458,0.7085593891478028,0.6076502732240437,0.3783970473491458
12,0,train_folds_0_1_valid_folds_2,0.6835400974134251,0.3867877835034304,0.7259258175690304,0.6261000281857755,0.3867877835034304
12,1,train_folds_0_2_valid_folds_1,0.6277777111428254,0.35569075058309363,0.7454738360612202,0.5354190354426906,0.35569075058309363
12,2,train_folds_1_2_valid_folds_0,0.6531087385192498,0.38155473472600054,0.72392110835442,0.5792349726775956,0.38155473472600054
13,0,train_folds_0_1_valid_folds_2,0.7161024990760638,0.40333277458690836,0.745096183114825,0.6477404403244496,0.40333277458690836
13,1,train_folds_0_2_valid_folds_1,0.620742455514954,0.3471827072953689,0.722256405943811,0.5179542981501633,0.3471827072953689
13,2,train_folds_1_2_valid_folds_0,0.6545113874155115,0.3758168778191011,0.7510835534261596,0.5606557377049181,0.3758168778191011
14,0,train_folds_0_1_valid_folds_2,0.6933746497874811,0.3880659471581543,0.7625982790704421,0.6037079953650057,0.3880659471581543
14,1,train_folds_0_2_valid_folds_1,0.6283239708543509,0.36731801296985744,0.68894133011945,0.5543097686006645,0.36731801296985744
14,2,train_folds_1_2_valid_folds_0,0.6726646184526356,0.38774025944176127,0.7142308968082836,0.5912568306010929,0.38774025944176127
15,0,train_folds_0_1_valid_folds_2,0.6668261023910886,0.3828013275452796,0.709351311464664,0.5701042873696408,0.3828013275452796
15,1,train_folds_0_2_valid_folds_1,0.6089482177625957,0.3380066670828341,0.6671636140172639,0.5233949945593036,0.3380066670828341
