trial,fold,run_name,map50,map50_95,precision,recall,fitness
0,0,train_folds_0_1_valid_folds_2,0.684079359033124,0.38560799358750375,0.7600873489730018,0.574739281575898,0.38560799358750375
0,1,train_folds_0_2_valid_folds_1,0.6239699349907344,0.3531664044266859,0.6904218102812653,0.558215451577802,0.3531664044266859
0,2,train_folds_1_2_valid_folds_0,0.6290773747948017,0.36478026919248435,0.7598903781169791,0.5291903925783707,0.36478026919248435
1,0,train_folds_0_1_valid_folds_2,0.6982481119702115,0.3938062461597337,0.7470528785022422,0.6129779837775203,0.3938062461597337
1,1,train_folds_0_2_valid_folds_1,0.6085638984636457,0.3457392835454921,0.7425458649866113,0.5335278695452798,0.3457392835454921
1,2,train_folds_1_2_valid_folds_0,0.6294741671089059,0.3728868080702651,0.7177809532358769,0.5573770491803278,0.3728868080702651
2,0,train_folds_0_1_valid_folds_2,0.6725115970058915,0.3809783717966275,0.7427034009384443,0.5863267670915412,0.3809783717966275
2,1,train_folds_0_2_valid_folds_1,0.6157732778993826,0.3556273647798508,0.7222766327537683,0.5462459194776932,0.3556273647798508
2,2,train_folds_1_2_valid_folds_0,0.6519529519213259,0.37940256847570125,0.693455080177173,0.5879781420765028,0.37940256847570125
3,0,train_folds_0_1_valid_folds_2,0.6724043313637544,0.3857550565696886,0.7407483439352781,0.5758980301274623,0.3857550565696886
3,1,train_folds_0_2_valid_folds_1,0.6044901470374077,0.3434805768300696,0.6858369641629946,0.5408052230685527,0.3434805768300696
3,2,train_folds_1_2_valid_folds_0,0.6561069355737538,0.36921990444471714,0.70423857405245,0.6063358762169434,0.36921990444471714
4,0,train_folds_0_1_valid_folds_2,0.6712732380812187,0.3775117930649177,0.6777644432217268,0.6095017381228274,0.3775117930649177
4,1,train_folds_0_2_valid_folds_1,0.5944164729753563,0.35044386593843263,0.6851866292482912,0.528835690968444,0.35044386593843263
4,2,train_folds_1_2_valid_folds_0,0.6338656443202557,0.3612790115546941,0.6993507063682503,0.566120218579235,0.3612790115546941
5,0,train_folds_0_1_valid_folds_2,0.6852357885623437,0.39399844234914644,0.7257467650505426,0.6224704812962828,0.39399844234914644
5,1,train_folds_0_2_valid_folds_1,0.6039063472148822,0.34481940068451533,0.6782143373408901,0.5429815016322089,0.34481940068451533
5,2,train_folds_1_2_valid_folds_0,0.6595216912790165,0.37574460979296725,0.7139763931914357,0.5912568306010929,0.37574460979296725
6,0,train_folds_0_1_valid_folds_2,0.6794872447986652,0.3931964759615755,0.7612358232368727,0.5944380069524913,0.3931964759615755
6,1,train_folds_0_2_valid_folds_1,0.6112827060664157,0.34966871834437485,0.7089589755098284,0.5195265995048367,0.34966871834437485
6,2,train_folds_1_2_valid_folds_0,0.6282433078256786,0.37682307519124264,0.6707575633446624,0.563312602219706,0.37682307519124264
7,0,train_folds_0_1_valid_folds_2,0.6988333750761486,0.4058112743679005,0.780380727902476,0.6037079953650057,0.4058112743679005
7,1,train_folds_0_2_valid_folds_1,0.618374616116509,0.35660283347417365,0.6777183658869047,0.5473340587595212,0.35660283347417365
7,2,train_folds_1_2_valid_folds_0,0.6275119614950517,0.3722103474922054,0.7239953525414519,0.5573770491803278,0.3722103474922054
8,0,train_folds_0_1_valid_folds_2,0.6738905903556713,0.39696769443225227,0.7251253618013006,0.6048667439165701,0.39696769443225227
8,1,train_folds_0_2_valid_folds_1,0.611259832751655,0.3585342474586535,0.706630574740115,0.5516866158868335,0.3585342474586535
8,2,train_folds_1_2_valid_folds_0,0.6335707723563726,0.36935480419648614,0.7307642367633856,0.5519125683060109,0.36935480419648614
9,0,train_folds_0_1_valid_folds_2,0.6778658129714994,0.4000617122317417,0.7353532523965456,0.6246265578053913,0.4000617122317417
9,1,train_folds_0_2_valid_folds_1,0.6001520904908447,0.3494684482849515,0.6666386930075059,0.552705262389702,0.3494684482849515
9,2,train_folds_1_2_valid_folds_0,0.6565501873613113,0.36984251505703564,0.7358081530569562,0.5989071038251366,0.36984251505703564
10,0,train_folds_0_1_valid_folds_2,0.6800678427721952,0.40817840955752616,0.6945985012982744,0.6164542294322132,0.40817840955752616
10,1,train_folds_0_2_valid_folds_1,0.6214680641707923,0.35424007540756974,0.7208242459175059,0.5538628944504896,0.35424007540756974
10,2,train_folds_1_2_valid_folds_0,0.613181025286252,0.3701318694910515,0.7215744926349286,0.5366120218579234,0.3701318694910515
11,0,train_folds_0_1_valid_folds_2,0.6810793259146946,0.3949411945306639,0.7590523311622344,0.5874855156431055,0.3949411945306639
11,1,train_folds_0_2_valid_folds_1,0.6121991038426193,0.3616636439679858,0.7416287085276579,0.5168661588683352,0.3616636439679858
11,2,train_folds_1_2_valid_folds_0,0.6326138947089386,0.3741937641093366,0.7364392391832456,0.5442622950819672,0.3741937641093366
12,0,train_folds_0_1_valid_folds_2,0.6801637582563104,0.3960186285044383,0.6785146766184028,0.6257242178447276,0.3960186285044383
12,1,train_folds_0_2_valid_folds_1,0.631606423734208,0.36516456968621835,0.6773088304892124,0.5549967813297519,0.36516456968621835
12,2,train_folds_1_2_valid_folds_0,0.6137589599391093,0.3683298591978238,0.6639836525810073,0.5453551912568306,0.3683298591978238
