trial,mean_mAP_50_95
0,0.367851555735558
1,0.3708107792584969
2,0.37200276835072654
3,0.36615184594815847
4,0.36307822351934815
5,0.3715208176088763
6,0.373229423165731
7,0.37820815177809314
8,0.3749522486957973
9,0.37312422519124294
10,0.37751678481871576
11,0.37693286753599536
12,0.3765043524628268
13,0.3776707092027811
14,0.37150509197514997
15,0.37413748951010656
16,0.37505317208046485
17,0.3772060625817078
18,0.36772724675955026
19,0.38220739456269043
20,0.385803031387348
21,0.389228110999289
22,0.39142714991246025
23,0.39073086079797253
24,0.389159814836586
25,0.3861475032260951
26,0.3858369297024978
27,0.3894873171786943
28,0.38883680239977103
29,0.39330892316926924
