trial,run_name,map50,map50_95,precision,recall,fitness,mean_map
0,train_folds_0_1_valid_folds_2,0.6877172831399341,0.38471366448355826,0.7019065688136871,0.6199304750869061,0.38471366448355826,0.37380677559074066
1,train_folds_0_1_valid_folds_2,0.6475873832423888,0.35579171925147507,0.7270967365758294,0.5587936885735263,0.35579171925147507,0.3402396652839286
2,train_folds_0_1_valid_folds_2,0.6358049388965435,0.3593859898811374,0.6039032419733134,0.6176129779837776,0.3593859898811374,0.34773741849890266
3,train_folds_0_1_valid_folds_2,0.7014682526823032,0.38914815970261124,0.7683890486121324,0.6187717265353418,0.38914815970261124,0.3773244730670066
4,train_folds_0_1_valid_folds_2,0.6528401730453296,0.33930857176035073,0.703849162066738,0.5689455388180765,0.33930857176035073,0.32947556140996453
5,train_folds_0_1_valid_folds_2,0.6283533995950347,0.3514130771620146,0.7061118181220009,0.5289742497158487,0.3514130771620146,0.34007155777491743
6,train_folds_0_1_valid_folds_2,0.6403849901208747,0.3604949615972547,0.6734716851890267,0.5616371489295399,0.3604949615972547,0.34800050514230746
7,train_folds_0_1_valid_folds_2,0.6343997285647408,0.33986423560854867,0.6518046596070003,0.5813246618576862,0.33986423560854867,0.32652563333680257
8,train_folds_0_1_valid_folds_2,0.6792929538858739,0.3759228167203238,0.7060888839111612,0.626882966396292,0.3759228167203238,0.3479615489387709
9,train_folds_0_1_valid_folds_2,0.7027379444050699,0.38473762818134194,0.7132860631185434,0.6428492996666036,0.38473762818134194,0.37227384404507685
10,train_folds_0_1_valid_folds_2,0.32904549271450556,0.16996627673787118,0.46127318835870446,0.3325608342989571,0.16996627673787118,0.17337850945563826
11,train_folds_0_1_valid_folds_2,0.6889655272741104,0.3940938750370088,0.7533735738374899,0.6164542294322132,0.3940938750370088,0.3785953535325608
12,train_folds_0_1_valid_folds_2,0.6835400974134251,0.3867877835034304,0.7259258175690304,0.6261000281857755,0.3867877835034304,0.3746777562708415
13,train_folds_0_1_valid_folds_2,0.7161024990760638,0.40333277458690836,0.745096183114825,0.6477404403244496,0.40333277458690836,0.37544411990045945
14,train_folds_0_1_valid_folds_2,0.6933746497874811,0.3880659471581543,0.7625982790704421,0.6037079953650057,0.3880659471581543,0.3810414065232577
15,train_folds_0_1_valid_folds_2,0.6668261023910886,0.3828013275452796,0.709351311464664,0.5701042873696408,0.3828013275452796,0.36318800205772656
16,train_folds_0_1_valid_folds_2,0.6926938916537009,0.3900681175268098,0.7548388237774083,0.5840092699884125,0.3900681175268098,0.36735587756973365
17,train_folds_0_1_valid_folds_2,0.6875161015040664,0.3956625598990387,0.7093381626476291,0.6257242178447276,0.3956625598990387,0.3780999032364358
18,train_folds_0_1_valid_folds_2,0.6944179763804952,0.3956480956880884,0.7790850972297998,0.6047987311023233,0.3956480956880884,0.38288075740986877
19,train_folds_0_1_valid_folds_2,0.6352385143116197,0.34949924870101523,0.6912522234732871,0.5492468134414832,0.34949924870101523,0.34090961065299724
20,train_folds_0_1_valid_folds_2,0.6601216766685938,0.37175164491238394,0.6791143722785867,0.5738493998053674,0.37175164491238394,0.3534867217936875
21,train_folds_0_1_valid_folds_2,0.6739526502654213,0.3871540516693675,0.7274191179756383,0.5863267670915412,0.3871540516693675,0.37330449616187916
22,train_folds_0_1_valid_folds_2,0.6836433524131673,0.39103383779412393,0.7563669149839349,0.575580021891339,0.39103383779412393,0.377266304242683
23,train_folds_0_1_valid_folds_2,0.70523095733209,0.40299678321970267,0.8147279304770735,0.574739281575898,0.40299678321970267,0.3842927076441256
24,train_folds_0_1_valid_folds_2,0.684059101347742,0.3803096441747068,0.7830611329563604,0.5646529109256031,0.3803096441747068,0.3746404994108968
25,train_folds_0_1_valid_folds_2,0.6840779510086362,0.39536483798297517,0.75533383591681,0.5616350224306965,0.39536483798297517,0.3709674304800994
26,train_folds_0_1_valid_folds_2,0.7011079550315553,0.3951212984958281,0.7711882792711573,0.6002317497103129,0.3951212984958281,0.38468280253237924
27,train_folds_0_1_valid_folds_2,0.6786668444634538,0.3765665787285851,0.7086440244402217,0.5921205098493627,0.3765665787285851,0.3631780003202821
28,train_folds_0_1_valid_folds_2,0.696926112123426,0.39576724254592494,0.7435492372760353,0.594659549468356,0.39576724254592494,0.37809046736676083
29,train_folds_0_1_valid_folds_2,0.6862794535089888,0.38477578099639187,0.7420364971607255,0.5833034656904877,0.38477578099639187,0.36497498539328826
